left	right	alpha	beta
"css-rs6kf8">	</span></div><di	5	6
="css-rs6kf8">	</span></div><d	5	6
s="css-rs6kf8">	</span></div><	5	6
ss="css-rs6kf8">	</span></div>	5	6
ass="css-rs6kf8">	</span></div	5	6
lass="css-rs6kf8">	</span></di	5	6
class="css-rs6kf8">	</span></d	5	6
default":"	","__typename":"Cre	5	6
"default":"	","__typename":"Cr	5	6
{"default":"	","__typename":"C	5	6
:{"default":"	","__typename":"	5	6
":{"default":"	","__typename":	5	6
e":{"default":"	","__typename"	5	6
ne":{"default":"	","__typename	5	6
ine":{"default":"	","__typenam	5	6
line":{"default":"	","__typena	5	6
dline":{"default":"	","__typen	5	6
ripHtml":"	"},"Section:U2VjdGl	5	6
tripHtml":"	"},"Section:U2VjdG	5	6
stripHtml":"	"},"Section:U2Vjd	5	6
@stripHtml":"	"},"Section:U2Vj	5	6
t@stripHtml":"	"},"Section:U2V	5	6
lt@stripHtml":"	"},"Section:U2	5	6
ult@stripHtml":"	"},"Section:U	5	6
ault@stripHtml":"	"},"Section:	5	6
fault@stripHtml":"	"},"Section	5	6
efault@stripHtml":"	"},"Sectio	5	6
xt@stripHtml":"	","formats":[]	5	6
ext@stripHtml":"	","formats":[	5	6
text@stripHtml":"	","formats":	5	6
"text@stripHtml":"	","formats"	5	6
,"text@stripHtml":"	","formats	5	6
  <title>	 - BBC News</title>	5	5
   <title>	 - BBC News</title	5	5
    <title>	 - BBC News</titl	5	5

    <title>	 - BBC News</tit	5	5
>
    <title>	 - BBC News</ti	5	5
">
    <title>	 - BBC News</t	5	5
1">
    <title>	 - BBC News</	5	5
=1">
    <title>	 - BBC News<	5	5
e=1">
    <title>	 - BBC News	5	5
me=1">
    <title>	 - BBC New	5	5
ome=1">
    <title>	 - BBC Ne	5	5
},"headline":"	","mediaType":	5	5
{},"headline":"	","mediaType"	5	5
:{},"headline":"	","mediaType	5	5
":{},"headline":"	","mediaTyp	5	5
e":{},"headline":"	","mediaTy	5	5
ne":{},"headline":"	","mediaT	5	5
ody__h1">	</h1>

        <div	5	5
body__h1">	</h1>

        <di	5	5
-body__h1">	</h1>

        <d	5	5
y-body__h1">	</h1>

        <	5	5
ry-body__h1">	</h1>

        	5	5
ory-body__h1">	</h1>

       	5	5
tory-body__h1">	</h1>

      	5	5
story-body__h1">	</h1>

     	5	5
"story-body__h1">	</h1>

    	5	5
="story-body__h1">	</h1>

   	5	5
s="story-body__h1">	</h1>

  	5	5
" title="	"/><script data-rh=	5	6
l" title="	"/><script data-rh	5	6
ml" title="	"/><script data-r	5	6
tml" title="	"/><script data-	5	6
html" title="	"/><script data	5	6
.html" title="	"/><script dat	5	6
-rs6kf8">	</span></div><div c	5	6
s-rs6kf8">	</span></div><div 	5	6
ss-rs6kf8">	</span></div><div	5	6
css-rs6kf8">	</span></div><di	5	6
"css-rs6kf8">	</span></div><d	5	6
="css-rs6kf8">	</span></div><	5	6
s="css-rs6kf8">	</span></div>	5	6
ss="css-rs6kf8">	</span></div	5	6
ass="css-rs6kf8">	</span></di	5	6
lass="css-rs6kf8">	</span></d	5	6
class="css-rs6kf8">	</span></	5	6
efault":"	","__typename":"Cre	5	6
default":"	","__typename":"Cr	5	6
"default":"	","__typename":"C	5	6
{"default":"	","__typename":"	5	6
:{"default":"	","__typename":	5	6
":{"default":"	","__typename"	5	6
e":{"default":"	","__typename	5	6
ne":{"default":"	","__typenam	5	6
ine":{"default":"	","__typena	5	6
line":{"default":"	","__typen	5	6
dline":{"default":"	","__type	5	6
ipHtml":"	"},"Section:U2VjdGl	5	6
ripHtml":"	"},"Section:U2VjdG	5	6
tripHtml":"	"},"Section:U2Vjd	5	6
stripHtml":"	"},"Section:U2Vj	5	6
@stripHtml":"	"},"Section:U2V	5	6
t@stripHtml":"	"},"Section:U2	5	6
lt@stripHtml":"	"},"Section:U	5	6
ult@stripHtml":"	"},"Section:	5	6
ault@stripHtml":"	"},"Section	5	6
fault@stripHtml":"	"},"Sectio	5	6
efault@stripHtml":"	"},"Secti	5	6
xt@stripHtml":"	","formats":[	5	6
ext@stripHtml":"	","formats":	5	6
text@stripHtml":"	","formats"	5	6
"text@stripHtml":"	","formats	5	6
,"text@stripHtml":"	","format	5	6
","headline":"	",	6	15
nt="	"/><	8	19
 <title>	 - BBC News</title>	5	5
  <title>	 - BBC News</title	5	5
   <title>	 - BBC News</titl	5	5
    <title>	 - BBC News</tit	5	5

    <title>	 - BBC News</ti	5	5
>
    <title>	 - BBC News</t	5	5
">
    <title>	 - BBC News</	5	5
1">
    <title>	 - BBC News<	5	5
=1">
    <title>	 - BBC News	5	5
e=1">
    <title>	 - BBC New	5	5
me=1">
    <title>	 - BBC Ne	5	5
ome=1">
    <title>	 - BBC N	5	5
},"headline":"	","mediaType"	5	5
{},"headline":"	","mediaType	5	5
:{},"headline":"	","mediaTyp	5	5
